PEP_ID	year	lcd	duration
1	1980	247	20
1	1981	259	20
1	1982	265	20
1	1983	264	20
1	1984	270	20
1	1985	265	20
1	1986	255	20
1	1987	266	20
1	1988	275	20
1	1989	250	20
1	1990	275	20
1	1991	280	20
1	1992	291	20
1	1993	263	20
1	1994	283	20
1	1995	299	20
1	1996	276	20
1	1997	277	20
1	1998	289	20
1	1999	286	20
4	1990	281	26
4	1991	300	26
4	1992	276	26
4	1993	269	26
4	1994	288	26
4	1995	311	26
4	1996	288	26
4	1997	295	26
4	1998	290	26
4	1999	301	26
4	2000	285	26
4	2001	286	26
4	2002	284	26
4	2003	280	26
4	2004	298	26
4	2005	283	26
4	2006	290	26
4	2007	291	26
4	2008	281	26
4	2009	290	26
4	2010	292	26
4	2011	294	26
4	2012	295	26
4	2013	285	26
4	2014	279	26
4	2015	293	26
15	1993	265	20
15	1994	283	20
15	1995	298	20
15	1996	282	20
15	1997	282	20
15	1998	268	20
15	1999	268	20
15	2000	283	20
15	2001	312	20
15	2002	302	20
15	2003	292	20
15	2004	294	20
15	2005	306	20
15	2006	312	20
15	2007	302	20
15	2008	290	20
15	2009	288	20
15	2010	288	20
15	2011	291	20
15	2012	299	20
16	1981	284	16
16	1982	274	16
16	1983	304	16
16	1984	274	16
16	1985	282	16
16	1986	283	16
16	1987	285	16
16	1988	286	16
16	1989	285	16
16	1990	284	16
16	1991	300	16
16	1992	283	16
16	1993	286	16
16	1994	286	16
16	1995	285	16
16	1996	286	16
21	1989	291	26
21	1990	272	26
21	1991	297	26
21	1992	288	26
21	1993	283	26
21	1994	287	26
21	1995	303	26
21	1996	300	26
21	1997	294	26
21	1998	279	26
21	1999	287	26
21	2000	280	26
21	2001	278	26
21	2002	283	26
21	2003	293	26
21	2004	293	26
21	2005	279	26
21	2006	301	26
21	2007	285	26
21	2008	273	26
21	2009	300	26
21	2010	292	26
21	2011	301	26
21	2012	307	26
21	2013	297	26
21	2015	297	26
28	1979	283	18
28	1980	295	18
28	1981	294	18
28	1982	273	18
28	1983	280	18
28	1984	289	18
28	1985	283	18
28	1986	272	18
28	1987	286	18
28	1988	286	18
28	1989	285	18
28	1990	289	18
28	1991	287	18
28	1992	258	18
28	1993	271	18
28	1994	272	18
28	1995	300	18
28	1996	298	18
29	1979	288	17
29	1980	266	17
29	1981	271	17
29	1982	285	17
29	1983	274	17
29	1984	284	17
29	1985	267	17
29	1986	257	17
29	1987	288	17
29	1988	264	17
29	1989	274	17
29	1990	271	17
29	1993	285	17
29	1994	287	17
29	1995	315	17
29	1996	296	17
29	1997	300	17
30	1980	303	19
30	1981	313	19
30	1982	328	19
30	1983	325	19
30	1985	331	19
30	1986	294	19
30	1987	277	19
30	1988	287	19
30	1989	296	19
30	1990	283	19
30	1991	295	19
30	1992	273	19
30	1993	280	19
30	1994	284	19
30	1995	290	19
30	1996	293	19
30	1997	298	19
30	1998	287	19
30	1999	289	19
33	1979	278	17
33	1980	282	17
33	1981	295	17
33	1984	289	17
33	1985	305	17
33	1986	302	17
33	1987	302	17
33	1988	288	17
33	1989	289	17
33	1990	285	17
33	1991	297	17
33	1992	288	17
33	1993	288	17
33	1994	286	17
33	1995	291	17
33	1996	290	17
33	1998	297	17
37	1979	311	17
37	1980	315	17
37	1981	289	17
37	1982	310	17
37	1983	301	17
37	1984	316	17
37	1985	309	17
37	1986	307	17
37	1987	301	17
37	1988	301	17
37	1989	284	17
37	1990	296	17
37	1991	311	17
37	1992	286	17
37	1993	293	17
37	1994	289	17
37	1995	291	17
40	1984	305	27
40	1985	312	27
40	1986	303	27
40	1987	308	27
40	1988	294	27
40	1989	277	27
40	1990	274	27
40	1991	315	27
40	1992	269	27
40	1993	299	27
40	1994	295	27
40	1995	312	27
40	1996	295	27
40	1997	296	27
40	1998	293	27
40	1999	301	27
40	2000	303	27
40	2001	309	27
40	2002	308	27
40	2003	306	27
40	2005	303	27
40	2006	300	27
40	2007	296	27
40	2008	298	27
40	2009	311	27
40	2010	304	27
40	2011	312	27
50	1986	294	30
50	1987	288	30
50	1988	297	30
50	1989	300	30
50	1990	309	30
50	1991	313	30
50	1992	304	30
50	1993	288	30
50	1994	299	30
50	1995	310	30
50	1996	295	30
50	1997	310	30
50	1998	296	30
50	1999	304	30
50	2000	307	30
50	2001	305	30
50	2002	304	30
50	2003	304	30
50	2004	299	30
50	2005	306	30
50	2006	319	30
50	2007	300	30
50	2008	299	30
50	2009	300	30
50	2010	302	30
50	2011	300	30
50	2012	320	30
50	2013	298	30
50	2014	311	30
50	2015	307	30
56	1979	289	22
56	1980	285	22
56	1981	285	22
56	1982	288	22
56	1983	287	22
56	1984	296	22
56	1985	288	22
56	1986	288	22
56	1987	295	22
56	1988	286	22
56	1989	282	22
56	1990	282	22
56	1991	305	22
56	1992	300	22
56	1993	291	22
56	1994	295	22
56	1995	304	22
56	1996	301	22
56	1997	304	22
56	1998	299	22
56	1999	312	22
56	2000	301	22
